
time,ax,ay,az,wx,wy,wz,
0.089,0.04,0.03,-0.15,0.86,-0.16,-0.08,
0.09,-0.05,0.10,-0.32,0.86,-0.16,-0.08,
0.091,-0.05,0.10,-0.32,0.85,-0.16,-0.08,
0.094,-0.12,0.15,-0.47,0.85,-0.16,-0.08,
0.095,-0.12,0.15,-0.47,0.84,-0.16,-0.07,
0.096,-0.12,0.15,-0.47,0.82,-0.17,-0.07,
0.099,-0.23,0.22,-0.62,0.82,-0.17,-0.07,
0.099,-0.23,0.22,-0.62,0.80,-0.17,-0.06,
0.101,-0.23,0.22,-0.62,0.78,-0.18,-0.06,
0.105,-0.23,0.22,-0.62,0.75,-0.19,-0.05,
0.105,-0.29,0.26,-0.76,0.75,-0.19,-0.05,
0.106,-0.29,0.26,-0.76,0.73,-0.20,-0.05,
0.109,-0.29,0.26,-0.76,0.69,-0.21,-0.04,
0.109,-0.40,0.29,-0.87,0.69,-0.21,-0.04,
0.11,-0.40,0.29,-0.87,0.66,-0.22,-0.04,
0.114,-0.40,0.29,-0.87,0.63,-0.23,-0.04,
0.114,-0.44,0.31,-0.91,0.63,-0.23,-0.04,
0.116,-0.44,0.31,-0.91,0.59,-0.24,-0.04,
0.119,-0.44,0.31,-0.91,0.55,-0.26,-0.04,
0.12,-0.46,0.30,-0.86,0.55,-0.26,-0.04,
0.12,-0.46,0.30,-0.86,0.52,-0.27,-0.04,
0.123,-0.46,0.30,-0.86,0.48,-0.27,-0.04,
0.123,-0.41,0.31,-0.81,0.48,-0.27,-0.04,
0.125,-0.41,0.31,-0.81,0.44,-0.28,-0.04,
0.128,-0.32,0.28,-0.85,0.44,-0.28,-0.04,
0.128,-0.32,0.28,-0.85,0.41,-0.27,-0.04,
0.13,-0.32,0.28,-0.85,0.38,-0.27,-0.04,
0.133,-0.22,0.20,-0.87,0.38,-0.27,-0.04,
0.134,-0.22,0.20,-0.87,0.35,-0.26,-0.04,
0.134,-0.22,0.20,-0.87,0.32,-0.25,-0.04,
0.138,-0.15,0.12,-0.82,0.32,-0.25,-0.04,
0.138,-0.15,0.12,-0.82,0.30,-0.25,-0.04,
0.139,-0.15,0.12,-0.82,0.28,-0.24,-0.04,
0.142,-0.15,0.12,-0.82,0.26,-0.23,-0.04,
0.143,-0.09,0.08,-0.72,0.26,-0.23,-0.04,
0.151,-0.09,0.08,-0.72,0.25,-0.22,-0.04,
0.151,-0.05,0.12,-0.61,0.25,-0.22,-0.04,
0.152,-0.05,0.12,-0.61,0.23,-0.21,-0.03,
0.152,-0.05,0.12,-0.61,0.22,-0.20,-0.03,
0.153,-0.04,0.17,-0.55,0.22,-0.20,-0.03,
0.155,-0.04,0.17,-0.55,0.21,-0.19,-0.03,
0.155,-0.04,0.17,-0.55,0.20,-0.18,-0.02,
0.164,-0.02,0.23,-0.50,0.20,-0.18,-0.02,
0.164,-0.02,0.23,-0.50,0.19,-0.17,-0.01,
0.164,-0.02,0.23,-0.50,0.18,-0.15,-0.01,
0.165,-0.02,0.23,-0.50,0.18,-0.14,-0.00,
0.165,0.00,0.21,-0.43,0.18,-0.14,-0.00,
0.165,0.00,0.21,-0.43,0.17,-0.13,-0.00,
0.167,0.00,0.21,-0.43,0.17,-0.13,0.00,
0.167,0.03,0.14,-0.28,0.17,-0.13,0.00,
0.169,0.03,0.14,-0.28,0.16,-0.12,0.01,
0.172,0.03,0.14,-0.28,0.16,-0.11,0.01,
0.172,0.08,0.04,-0.10,0.16,-0.11,0.01,
0.173,0.08,0.04,-0.10,0.16,-0.11,0.02,
0.176,0.08,0.04,-0.10,0.17,-0.10,0.03,
0.176,0.13,-0.06,0.02,0.17,-0.10,0.03,
0.179,0.13,-0.06,0.02,0.17,-0.09,0.04,
0.181,0.13,-0.06,0.02,0.17,-0.09,0.04,
0.181,0.16,-0.09,0.13,0.17,-0.09,0.04,
0.184,0.16,-0.09,0.13,0.18,-0.08,0.05,
0.187,0.10,-0.14,0.25,0.18,-0.08,0.05,
0.187,0.10,-0.14,0.25,0.19,-0.08,0.06,
0.188,0.10,-0.14,0.25,0.20,-0.07,0.07,
0.191,0.05,-0.14,0.41,0.20,-0.07,0.07,
0.191,0.05,-0.14,0.41,0.21,-0.07,0.08,
0.194,0.05,-0.14,0.41,0.23,-0.07,0.08,
0.196,-0.03,-0.11,0.54,0.23,-0.07,0.08,
0.197,-0.03,-0.11,0.54,0.24,-0.07,0.09,
0.199,-0.03,-0.11,0.54,0.26,-0.07,0.09,
0.2,-0.03,-0.11,0.54,0.27,-0.07,0.09,
0.201,-0.02,-0.04,0.59,0.27,-0.07,0.09,
0.203,-0.02,-0.04,0.59,0.29,-0.07,0.08,
0.205,-0.02,-0.04,0.59,0.30,-0.08,0.08,
0.205,0.01,-0.01,0.57,0.30,-0.08,0.08,
0.208,0.01,-0.01,0.57,0.32,-0.08,0.07,
0.21,0.07,0.01,0.59,0.32,-0.08,0.07,
0.21,0.07,0.01,0.59,0.33,-0.09,0.06,
0.212,0.07,0.01,0.59,0.35,-0.10,0.04,
0.215,0.07,0.01,0.59,0.36,-0.11,0.03,
0.216,0.13,-0.02,0.66,0.36,-0.11,0.03,
0.217,0.13,-0.02,0.66,0.38,-0.13,0.01,
0.221,0.23,-0.08,0.69,0.38,-0.13,0.01,
0.221,0.23,-0.08,0.69,0.40,-0.14,-0.01,
0.222,0.23,-0.08,0.69,0.41,-0.15,-0.03,
0.225,0.23,-0.08,0.69,0.43,-0.16,-0.05,
0.226,0.35,-0.13,0.63,0.43,-0.16,-0.05,
0.227,0.35,-0.13,0.63,0.45,-0.17,-0.07,
0.229,0.35,-0.13,0.63,0.46,-0.18,-0.09,
0.23,0.44,-0.24,0.53,0.46,-0.18,-0.09,
0.231,0.44,-0.24,0.53,0.48,-0.19,-0.11,
0.234,0.44,-0.24,0.53,0.49,-0.21,-0.13,
0.235,0.49,-0.31,0.44,0.49,-0.21,-0.13,
0.237,0.49,-0.31,0.44,0.51,-0.22,-0.15,
0.239,0.47,-0.39,0.43,0.51,-0.22,-0.15,
0.239,0.47,-0.39,0.43,0.53,-0.24,-0.17,
0.242,0.47,-0.39,0.43,0.55,-0.26,-0.18,
0.245,0.45,-0.40,0.46,0.55,-0.26,-0.18,
0.245,0.45,-0.40,0.46,0.56,-0.27,-0.20,
0.252,0.45,-0.40,0.46,0.58,-0.28,-0.21,
0.252,0.45,-0.40,0.46,0.60,-0.29,-0.22,
0.253,0.49,-0.41,0.49,0.60,-0.29,-0.22,
0.253,0.49,-0.41,0.49,0.62,-0.30,-0.22,
0.254,0.56,-0.43,0.52,0.62,-0.30,-0.22,
0.255,0.56,-0.43,0.52,0.64,-0.31,-0.22,
0.257,0.56,-0.43,0.52,0.66,-0.31,-0.21,
0.259,0.56,-0.43,0.52,0.67,-0.32,-0.20,
0.259,0.56,-0.49,0.49,0.67,-0.32,-0.20,
0.262,0.56,-0.49,0.49,0.69,-0.32,-0.20,
0.263,0.52,-0.56,0.44,0.69,-0.32,-0.20,
0.263,0.52,-0.56,0.44,0.70,-0.33,-0.19,
0.266,0.52,-0.56,0.44,0.71,-0.34,-0.19,
0.268,0.49,-0.60,0.37,0.71,-0.34,-0.19,
0.269,0.49,-0.60,0.37,0.72,-0.34,-0.19,
0.271,0.49,-0.60,0.37,0.73,-0.35,-0.19,
0.273,0.49,-0.60,0.37,0.74,-0.36,-0.19,
0.274,0.46,-0.69,0.26,0.74,-0.36,-0.19,
0.275,0.46,-0.69,0.26,0.74,-0.37,-0.19,
0.279,0.45,-0.72,0.15,0.74,-0.37,-0.19,
0.279,0.45,-0.72,0.15,0.74,-0.38,-0.20,
0.28,0.45,-0.72,0.15,0.74,-0.39,-0.21,
0.284,0.45,-0.72,0.15,0.73,-0.40,-0.22,
0.284,0.45,-0.73,0.00,0.73,-0.40,-0.22,
0.285,0.45,-0.73,0.00,0.73,-0.42,-0.23,
0.287,0.45,-0.73,0.00,0.72,-0.43,-0.25,
0.288,0.37,-0.61,-0.10,0.72,-0.43,-0.25,
0.289,0.37,-0.61,-0.10,0.72,-0.45,-0.27,
0.292,0.27,-0.44,-0.13,0.72,-0.45,-0.27,
0.293,0.27,-0.44,-0.13,0.71,-0.48,-0.29,
0.294,0.27,-0.44,-0.13,0.71,-0.50,-0.31,
0.298,0.27,-0.44,-0.13,0.71,-0.52,-0.32,
0.298,0.10,-0.24,-0.19,0.71,-0.52,-0.32,
0.3,0.10,-0.24,-0.19,0.70,-0.54,-0.35,
0.303,0.10,-0.24,-0.19,0.70,-0.56,-0.37,
0.304,-0.04,-0.06,-0.23,0.70,-0.56,-0.37,
0.304,-0.04,-0.06,-0.23,0.70,-0.57,-0.39,
0.31,-0.04,-0.06,-0.23,0.70,-0.59,-0.41,
0.311,-0.17,0.11,-0.31,0.70,-0.59,-0.41,
0.311,-0.17,0.11,-0.31,0.70,-0.60,-0.43,
0.311,-0.30,0.27,-0.37,0.70,-0.60,-0.43,
0.312,-0.30,0.27,-0.37,0.70,-0.61,-0.45,
0.314,-0.30,0.27,-0.37,0.70,-0.62,-0.46,
0.318,-0.37,0.33,-0.43,0.70,-0.62,-0.46,
0.318,-0.37,0.33,-0.43,0.70,-0.62,-0.48,
0.324,-0.37,0.33,-0.43,0.71,-0.63,-0.49,
0.324,-0.37,0.33,-0.43,0.70,-0.64,-0.50,
0.324,-0.39,0.35,-0.49,0.70,-0.64,-0.50,
0.325,-0.39,0.35,-0.49,0.71,-0.65,-0.51,
0.327,-0.41,0.34,-0.52,0.71,-0.65,-0.51,
0.328,-0.41,0.34,-0.52,0.71,-0.65,-0.51,
0.329,-0.41,0.34,-0.52,0.71,-0.65,-0.51,
0.331,-0.44,0.31,-0.55,0.71,-0.65,-0.51,
0.332,-0.44,0.31,-0.55,0.71,-0.65,-0.51,
0.333,-0.44,0.31,-0.55,0.71,-0.66,-0.51,
0.337,-0.45,0.27,-0.59,0.71,-0.66,-0.51,
0.337,-0.45,0.27,-0.59,0.70,-0.65,-0.51,
0.338,-0.45,0.27,-0.59,0.70,-0.65,-0.50,
0.341,-0.45,0.27,-0.59,0.70,-0.65,-0.49,
0.341,-0.47,0.22,-0.64,0.70,-0.65,-0.49,
0.343,-0.47,0.22,-0.64,0.69,-0.64,-0.47,
0.346,-0.47,0.22,-0.64,0.69,-0.63,-0.46,
0.347,-0.48,0.18,-0.68,0.69,-0.63,-0.46,
0.349,-0.48,0.18,-0.68,0.68,-0.61,-0.45,
0.35,-0.50,0.15,-0.76,0.68,-0.61,-0.45,
0.35,-0.50,0.15,-0.76,0.68,-0.60,-0.43,
0.355,-0.50,0.15,-0.76,0.67,-0.58,-0.41,
0.356,-0.57,0.15,-0.85,0.67,-0.58,-0.41,
0.356,-0.57,0.15,-0.85,0.66,-0.56,-0.39,
0.358,-0.57,0.15,-0.85,0.65,-0.55,-0.37,
0.36,-0.57,0.15,-0.85,0.64,-0.53,-0.35,
0.36,-0.53,0.13,-0.88,0.64,-0.53,-0.35,
0.363,-0.53,0.13,-0.88,0.63,-0.52,-0.33,
0.365,-0.53,0.13,-0.88,0.62,-0.51,-0.31,
0.365,-0.53,0.10,-0.86,0.62,-0.51,-0.31,
0.367,-0.53,0.10,-0.86,0.61,-0.49,-0.29,
0.37,-0.52,0.08,-0.76,0.61,-0.49,-0.29,
0.371,-0.52,0.08,-0.76,0.60,-0.48,-0.27,
0.373,-0.52,0.08,-0.76,0.59,-0.47,-0.25,
0.374,-0.51,0.10,-0.74,0.59,-0.47,-0.25,
0.375,-0.51,0.10,-0.74,0.58,-0.46,-0.23,
0.377,-0.51,0.10,-0.74,0.56,-0.46,-0.21,
0.381,-0.51,0.10,-0.74,0.55,-0.45,-0.20,
0.381,-0.49,0.12,-0.74,0.55,-0.45,-0.20,
0.382,-0.49,0.12,-0.74,0.54,-0.45,-0.18,
0.385,-0.49,0.12,-0.74,0.53,-0.44,-0.17,
0.386,-0.47,0.14,-0.76,0.53,-0.44,-0.17,
0.387,-0.47,0.14,-0.76,0.52,-0.44,-0.15,
0.39,-0.44,0.15,-0.81,0.52,-0.44,-0.15,
0.39,-0.44,0.15,-0.81,0.51,-0.44,-0.14,
0.392,-0.44,0.15,-0.81,0.50,-0.44,-0.13,
0.394,-0.43,0.13,-0.83,0.50,-0.44,-0.13,
0.394,-0.43,0.13,-0.83,0.49,-0.45,-0.12,
0.396,-0.43,0.13,-0.83,0.48,-0.45,-0.11,
0.399,-0.44,0.11,-0.81,0.48,-0.45,-0.11,
0.399,-0.44,0.11,-0.81,0.47,-0.46,-0.11,
0.401,-0.44,0.11,-0.81,0.46,-0.47,-0.10,
0.405,-0.46,0.13,-0.76,0.46,-0.47,-0.10,
0.405,-0.46,0.13,-0.76,0.45,-0.48,-0.10,
0.406,-0.46,0.13,-0.76,0.43,-0.49,-0.09,
0.409,-0.49,0.14,-0.73,0.43,-0.49,-0.09,
0.409,-0.49,0.14,-0.73,0.42,-0.50,-0.09,
0.411,-0.49,0.14,-0.73,0.40,-0.50,-0.08,
0.414,-0.50,0.17,-0.76,0.40,-0.50,-0.08,
0.415,-0.50,0.17,-0.76,0.39,-0.51,-0.08,
0.416,-0.50,0.17,-0.76,0.37,-0.51,-0.07,
0.419,-0.51,0.20,-0.78,0.37,-0.51,-0.07,
0.42,-0.51,0.20,-0.78,0.36,-0.52,-0.07,
0.421,-0.51,0.20,-0.78,0.34,-0.52,-0.06,
0.424,-0.51,0.20,-0.78,0.32,-0.52,-0.06,
0.425,-0.55,0.17,-0.79,0.32,-0.52,-0.06,
0.426,-0.55,0.17,-0.79,0.30,-0.52,-0.05,
0.429,-0.55,0.17,-0.79,0.28,-0.52,-0.05,
0.429,-0.51,0.14,-0.80,0.28,-0.52,-0.05,
0.431,-0.51,0.14,-0.80,0.26,-0.52,-0.04,
0.434,-0.49,0.08,-0.75,0.26,-0.52,-0.04,
0.434,-0.49,0.08,-0.75,0.25,-0.52,-0.03,
0.435,-0.49,0.08,-0.75,0.23,-0.53,-0.01,
0.438,-0.44,0.05,-0.70,0.23,-0.53,-0.01,
0.439,-0.44,0.05,-0.70,0.21,-0.53,-0.00,
0.44,-0.44,0.05,-0.70,0.20,-0.54,0.01,
0.443,-0.37,0.04,-0.62,0.20,-0.54,0.01,
0.444,-0.37,0.04,-0.62,0.18,-0.55,0.03,
0.451,-0.37,0.04,-0.62,0.18,-0.57,0.05,
0.453,-0.37,0.04,-0.62,0.17,-0.59,0.06,
0.453,-0.34,0.03,-0.50,0.17,-0.59,0.06,
0.453,-0.34,0.03,-0.50,0.16,-0.61,0.08,
0.454,-0.27,0.07,-0.40,0.16,-0.61,0.08,
0.454,-0.27,0.07,-0.40,0.16,-0.63,0.10,
0.454,-0.27,0.07,-0.40,0.16,-0.64,0.11,
0.457,-0.16,0.11,-0.37,0.16,-0.64,0.11,
0.458,-0.16,0.11,-0.37,0.15,-0.65,0.12,
0.459,-0.16,0.11,-0.37,0.15,-0.66,0.12,
0.462,-0.16,0.11,-0.37,0.15,-0.66,0.12,
0.463,0.02,0.12,-0.38,0.15,-0.66,0.12,
0.464,0.02,0.12,-0.38,0.15,-0.66,0.12,
0.467,0.18,0.08,-0.38,0.15,-0.66,0.12,
0.468,0.18,0.08,-0.38,0.15,-0.67,0.11,
0.469,0.18,0.08,-0.38,0.15,-0.67,0.10,
0.472,0.18,0.08,-0.38,0.16,-0.67,0.08,
0.473,0.33,-0.02,-0.27,0.16,-0.67,0.08,
0.474,0.33,-0.02,-0.27,0.16,-0.68,0.07,
0.476,0.33,-0.02,-0.27,0.17,-0.68,0.05,
0.477,0.38,-0.14,-0.19,0.17,-0.68,0.05,
0.479,0.38,-0.14,-0.19,0.17,-0.68,0.03,
0.482,0.42,-0.21,-0.17,0.17,-0.68,0.03,
0.482,0.42,-0.21,-0.17,0.18,-0.69,0.02,
0.484,0.42,-0.21,-0.17,0.19,-0.70,-0.00,
0.486,0.50,-0.30,-0.12,0.19,-0.70,-0.00,
0.487,0.50,-0.30,-0.12,0.20,-0.70,-0.02,
0.488,0.50,-0.30,-0.12,0.20,-0.71,-0.05,
0.491,0.50,-0.30,-0.12,0.21,-0.71,-0.07,
0.492,0.59,-0.36,-0.08,0.21,-0.71,-0.07,
0.494,0.59,-0.36,-0.08,0.22,-0.72,-0.08,
0.497,0.59,-0.36,-0.08,0.23,-0.73,-0.11,
0.497,0.62,-0.34,-0.08,0.23,-0.73,-0.11,
0.498,0.62,-0.34,-0.08,0.24,-0.75,-0.13,
0.501,0.61,-0.35,-0.04,0.24,-0.75,-0.13,
0.502,0.61,-0.35,-0.04,0.25,-0.76,-0.15,
0.503,0.61,-0.35,-0.04,0.26,-0.79,-0.16,
0.505,0.61,-0.35,-0.04,0.26,-0.81,-0.19,
0.506,0.56,-0.39,0.05,0.26,-0.81,-0.19,
0.508,0.56,-0.39,0.05,0.27,-0.84,-0.21,
0.51,0.56,-0.39,0.05,0.28,-0.87,-0.22,
0.51,0.55,-0.42,0.11,0.28,-0.87,-0.22,
0.513,0.55,-0.42,0.11,0.28,-0.90,-0.24,
0.516,0.55,-0.42,0.11,0.29,-0.92,-0.26,
0.516,0.53,-0.44,0.02,0.29,-0.92,-0.26,
0.517,0.53,-0.44,0.02,0.29,-0.95,-0.28,
0.521,0.53,-0.44,0.02,0.29,-0.98,-0.30,
0.521,0.51,-0.43,-0.11,0.29,-0.98,-0.30,
0.522,0.51,-0.43,-0.11,0.29,-1.00,-0.32,
0.525,0.51,-0.43,-0.11,0.29,-1.03,-0.34,
0.526,0.52,-0.50,-0.25,0.29,-1.03,-0.34,
0.527,0.52,-0.50,-0.25,0.29,-1.05,-0.36,
0.53,0.52,-0.50,-0.25,0.28,-1.08,-0.38,
0.531,0.50,-0.54,-0.37,0.28,-1.08,-0.38,
0.532,0.50,-0.54,-0.37,0.28,-1.10,-0.39,
0.535,0.50,-0.54,-0.37,0.27,-1.13,-0.41,
0.536,0.57,-0.62,-0.43,0.27,-1.13,-0.41,
0.537,0.57,-0.62,-0.43,0.26,-1.15,-0.43,
0.54,0.68,-0.71,-0.48,0.26,-1.15,-0.43,
0.541,0.68,-0.71,-0.48,0.26,-1.17,-0.45,
0.542,0.68,-0.71,-0.48,0.25,-1.18,-0.47,
0.551,0.68,-0.71,-0.48,0.24,-1.19,-0.49,
0.552,0.74,-0.67,-0.56,0.24,-1.19,-0.49,
0.553,0.74,-0.67,-0.56,0.23,-1.21,-0.50,
0.553,0.74,-0.67,-0.56,0.22,-1.22,-0.52,
0.553,0.86,-0.78,-0.52,0.22,-1.22,-0.52,
0.553,0.86,-0.78,-0.52,0.21,-1.23,-0.54,
0.555,0.88,-0.80,-0.56,0.21,-1.23,-0.54,
0.555,0.88,-0.80,-0.56,0.19,-1.25,-0.56,
0.557,0.88,-0.80,-0.56,0.18,-1.26,-0.59,
0.559,0.88,-0.80,-0.56,0.17,-1.27,-0.61,
0.56,0.93,-0.84,-0.52,0.17,-1.27,-0.61,
0.562,0.93,-0.84,-0.52,0.16,-1.28,-0.63,
0.563,0.93,-0.84,-0.52,0.14,-1.29,-0.66,
0.564,0.89,-0.73,-0.58,0.14,-1.29,-0.66,
0.566,0.89,-0.73,-0.58,0.13,-1.30,-0.68,
0.568,0.89,-0.73,-0.58,0.12,-1.30,-0.71,
0.569,0.84,-0.62,-0.60,0.12,-1.30,-0.71,
0.571,0.84,-0.62,-0.60,0.10,-1.30,-0.74,
0.573,0.75,-0.49,-0.69,0.10,-1.30,-0.74,
0.574,0.75,-0.49,-0.69,0.09,-1.30,-0.77,
0.576,0.75,-0.49,-0.69,0.07,-1.29,-0.80,
0.579,0.69,-0.38,-0.86,0.07,-1.29,-0.80,
0.58,0.69,-0.38,-0.86,0.05,-1.27,-0.83,
0.581,0.69,-0.38,-0.86,0.03,-1.26,-0.86,
0.583,0.58,-0.29,-0.99,0.03,-1.26,-0.86,
0.584,0.58,-0.29,-0.99,0.01,-1.24,-0.89,
0.585,0.58,-0.29,-0.99,-0.01,-1.22,-0.92,
0.589,0.58,-0.29,-0.99,-0.03,-1.20,-0.95,
0.589,0.41,-0.15,-1.09,-0.03,-1.20,-0.95,
0.591,0.41,-0.15,-1.09,-0.05,-1.18,-0.97,
0.594,0.41,-0.15,-1.09,-0.07,-1.15,-1.00,
0.594,0.31,-0.09,-1.18,-0.07,-1.15,-1.00,
0.596,0.31,-0.09,-1.18,-0.09,-1.13,-1.02,
0.598,0.17,0.06,-1.25,-0.09,-1.13,-1.02,
0.598,0.17,0.06,-1.25,-0.11,-1.10,-1.04,
0.6,0.17,0.06,-1.25,-0.13,-1.08,-1.06,
0.603,0.12,0.06,-1.26,-0.13,-1.08,-1.06,
0.604,0.12,0.06,-1.26,-0.15,-1.05,-1.08,
0.605,0.12,0.06,-1.26,-0.17,-1.03,-1.09,
0.608,0.04,0.12,-1.24,-0.17,-1.03,-1.09,
0.608,0.04,0.12,-1.24,-0.19,-1.00,-1.10,
0.609,0.04,0.12,-1.24,-0.21,-0.97,-1.11,
0.612,-0.10,0.21,-1.18,-0.21,-0.97,-1.11,
0.613,-0.10,0.21,-1.18,-0.22,-0.94,-1.11,
0.614,-0.10,0.21,-1.18,-0.24,-0.91,-1.12,
0.617,-0.10,0.21,-1.18,-0.25,-0.87,-1.11,
0.617,-0.26,0.29,-1.12,-0.25,-0.87,-1.11,
0.62,-0.26,0.29,-1.12,-0.26,-0.84,-1.11,
0.621,-0.41,0.41,-1.10,-0.26,-0.84,-1.11,
0.622,-0.41,0.41,-1.10,-0.27,-0.80,-1.10,
0.625,-0.41,0.41,-1.10,-0.28,-0.77,-1.09,
0.628,-0.51,0.57,-1.05,-0.28,-0.77,-1.09,
0.628,-0.51,0.57,-1.05,-0.28,-0.74,-1.08,
0.629,-0.51,0.57,-1.05,-0.29,-0.71,-1.06,
0.632,-0.51,0.57,-1.05,-0.29,-0.68,-1.05,
0.633,-0.50,0.63,-0.97,-0.29,-0.68,-1.05,
0.634,-0.50,0.63,-0.97,-0.30,-0.64,-1.03,
0.636,-0.51,0.73,-0.94,-0.30,-0.64,-1.03,
0.639,-0.51,0.73,-0.94,-0.30,-0.61,-1.01,
0.64,-0.51,0.73,-0.94,-0.30,-0.58,-0.99,
0.646,-0.55,0.80,-0.89,-0.30,-0.58,-0.99,
0.647,-0.55,0.80,-0.89,-0.31,-0.55,-0.97,
0.647,-0.55,0.80,-0.89,-0.31,-0.52,-0.95,
0.647,-0.58,0.88,-0.86,-0.31,-0.52,-0.95,
0.648,-0.58,0.88,-0.86,-0.30,-0.49,-0.92,
0.648,-0.58,0.88,-0.86,-0.30,-0.47,-0.90,
0.651,-0.58,0.88,-0.86,-0.30,-0.43,-0.87,
0.652,-0.67,1.04,-0.82,-0.30,-0.43,-0.87,
0.654,-0.67,1.04,-0.82,-0.30,-0.40,-0.84,
0.656,-0.67,1.04,-0.82,-0.30,-0.34,-0.80,
0.656,-0.71,1.18,-0.82,-0.30,-0.34,-0.80,
0.658,-0.71,1.18,-0.82,-0.30,-0.28,-0.76,
0.661,-0.71,1.18,-0.82,-0.31,-0.20,-0.72,
0.662,-0.71,1.32,-0.99,-0.31,-0.20,-0.72,
0.663,-0.71,1.32,-0.99,-0.32,-0.11,-0.67,
0.666,-0.62,1.48,-1.30,-0.32,-0.11,-0.67,
0.667,-0.62,1.48,-1.30,-0.33,-0.02,-0.62,
0.667,-0.62,1.48,-1.30,-0.33,0.04,-0.56,
0.67,-0.63,1.64,-1.22,-0.33,0.04,-0.56,
0.671,-0.63,1.64,-1.22,-0.33,0.07,-0.50,
0.672,-0.63,1.64,-1.22,-0.32,0.08,-0.43,
0.675,-0.63,1.64,-1.22,-0.30,0.07,-0.37,
0.675,-0.84,1.83,-0.74,-0.30,0.07,-0.37,
0.677,-0.84,1.83,-0.74,-0.29,0.06,-0.30,
0.681,-0.84,1.83,-0.74,-0.28,0.05,-0.23,
0.681,-0.97,1.93,-0.43,-0.28,0.05,-0.23,
