
time,ax,ay,az,wx,wy,wz,
0.075,0.31,-0.32,1.16,0.01,-0.50,0.43,
0.077,0.31,-0.32,1.16,0.02,-0.53,0.42,
0.077,0.27,-0.46,1.18,0.02,-0.53,0.42,
0.079,0.27,-0.46,1.18,0.04,-0.55,0.42,
0.082,0.23,-0.56,1.21,0.04,-0.55,0.42,
0.082,0.23,-0.56,1.21,0.05,-0.58,0.41,
0.089,0.23,-0.56,1.21,0.05,-0.61,0.39,
0.089,0.23,-0.56,1.21,0.01,-0.64,0.37,
0.09,0.23,-0.73,1.16,0.01,-0.64,0.37,
0.09,0.23,-0.73,1.16,-0.04,-0.67,0.34,
0.091,0.45,-1.22,0.74,-0.04,-0.67,0.34,
0.092,0.45,-1.22,0.74,-0.09,-0.69,0.32,
0.094,0.45,-1.22,0.74,-0.13,-0.71,0.29,
0.096,0.45,-1.22,0.74,-0.17,-0.72,0.26,
0.096,0.77,-1.54,0.41,-0.17,-0.72,0.26,
0.098,0.77,-1.54,0.41,-0.19,-0.72,0.24,
0.101,0.77,-1.54,0.41,-0.21,-0.72,0.21,
0.101,0.83,-1.73,0.03,-0.21,-0.72,0.21,
0.103,0.83,-1.73,0.03,-0.22,-0.71,0.18,
0.107,0.83,-1.73,0.03,-0.23,-0.69,0.17,
0.107,0.79,-1.57,-0.33,-0.23,-0.69,0.17,
0.108,0.79,-1.57,-0.33,-0.22,-0.67,0.15,
0.11,0.66,-1.12,-0.40,-0.22,-0.67,0.15,
0.111,0.66,-1.12,-0.40,-0.21,-0.65,0.14,
0.113,0.66,-1.12,-0.40,-0.20,-0.64,0.15,
0.117,0.66,-1.12,-0.40,-0.19,-0.63,0.15,
0.117,0.24,-0.44,-0.34,-0.19,-0.63,0.15,
0.117,0.24,-0.44,-0.34,-0.18,-0.62,0.17,
0.12,0.24,-0.44,-0.34,-0.18,-0.62,0.19,
0.12,-0.17,0.22,-0.25,-0.18,-0.62,0.19,
0.125,-0.17,0.22,-0.25,-0.17,-0.64,0.22,
0.125,-0.17,0.22,-0.25,-0.16,-0.66,0.25,
0.125,-0.55,0.94,0.06,-0.16,-0.66,0.25,
0.127,-0.55,0.94,0.06,-0.15,-0.68,0.30,
0.13,-0.55,0.94,0.06,-0.13,-0.71,0.34,
0.13,-0.88,1.43,0.55,-0.13,-0.71,0.34,
0.133,-0.88,1.43,0.55,-0.12,-0.75,0.38,
0.134,-1.01,1.58,0.87,-0.12,-0.75,0.38,
0.135,-1.01,1.58,0.87,-0.11,-0.78,0.43,
0.137,-1.01,1.58,0.87,-0.09,-0.80,0.46,
0.14,-0.98,1.38,0.92,-0.09,-0.80,0.46,
0.14,-0.98,1.38,0.92,-0.08,-0.82,0.49,
0.142,-0.98,1.38,0.92,-0.06,-0.83,0.51,
0.144,-0.81,0.95,0.81,-0.06,-0.83,0.51,
0.145,-0.81,0.95,0.81,-0.04,-0.83,0.53,
0.147,-0.81,0.95,0.81,-0.03,-0.81,0.53,
0.15,-0.56,0.36,0.53,-0.03,-0.81,0.53,
0.15,-0.56,0.36,0.53,-0.01,-0.80,0.53,
0.151,-0.56,0.36,0.53,0.01,-0.77,0.52,
0.154,-0.30,-0.15,0.20,0.01,-0.77,0.52,
0.154,-0.30,-0.15,0.20,0.02,-0.75,0.50,
0.157,-0.30,-0.15,0.20,0.03,-0.72,0.49,
0.159,-0.12,-0.48,0.06,0.03,-0.72,0.49,
0.159,-0.12,-0.48,0.06,0.05,-0.70,0.47,
0.161,-0.12,-0.48,0.06,0.06,-0.68,0.45,
0.164,0.00,-0.55,0.04,0.06,-0.68,0.45,
0.164,0.00,-0.55,0.04,0.08,-0.66,0.44,
0.173,0.00,-0.55,0.04,0.08,-0.64,0.45,
0.173,0.10,-0.43,0.04,0.08,-0.64,0.45,
0.174,0.10,-0.43,0.04,0.08,-0.63,0.45,
0.174,0.10,-0.43,0.04,0.09,-0.64,0.45,
0.174,0.23,-0.22,0.12,0.09,-0.64,0.45,
0.174,0.23,-0.22,0.12,0.10,-0.66,0.45,
0.176,0.23,-0.22,0.12,0.10,-0.66,0.45,
0.178,0.16,-0.08,0.30,0.10,-0.66,0.45,
0.179,0.16,-0.08,0.30,0.11,-0.66,0.45,
0.182,0.16,-0.08,0.30,0.11,-0.65,0.45,
0.187,0.16,0.03,-0.07,0.11,-0.65,0.45,
0.188,0.16,0.03,-0.07,0.11,-0.65,0.45,
0.188,0.16,0.03,-0.07,0.12,-0.65,0.45,
0.188,0.15,0.07,-0.01,0.12,-0.65,0.45,
0.188,0.15,0.07,-0.01,0.13,-0.65,0.45,
0.191,0.15,0.07,-0.01,0.13,-0.65,0.45,
0.193,0.15,0.07,-0.01,0.14,-0.64,0.45,
0.193,0.03,0.04,-0.05,0.14,-0.64,0.45,
0.195,0.03,0.04,-0.05,0.15,-0.62,0.45,
0.197,-0.07,0.03,-0.20,0.15,-0.62,0.45,
0.197,-0.07,0.03,-0.20,0.16,-0.60,0.45,
0.201,-0.07,0.03,-0.20,0.17,-0.59,0.45,
0.202,-0.07,0.03,-0.20,0.17,-0.57,0.45,
0.202,-0.16,0.00,-0.28,0.17,-0.57,0.45,
0.205,-0.16,0.00,-0.28,0.18,-0.55,0.46,
0.207,-0.16,0.00,-0.28,0.19,-0.52,0.46,
0.207,-0.19,-0.01,-0.27,0.19,-0.52,0.46,
0.209,-0.19,-0.01,-0.27,0.20,-0.50,0.46,
0.212,-0.18,0.02,-0.21,0.20,-0.50,0.46,
0.212,-0.18,0.02,-0.21,0.21,-0.48,0.47,
0.215,-0.18,0.02,-0.21,0.21,-0.46,0.47,
0.218,-0.14,0.05,-0.20,0.21,-0.46,0.47,
0.219,-0.14,0.05,-0.20,0.22,-0.44,0.48,
0.219,-0.14,0.05,-0.20,0.23,-0.41,0.49,
0.221,-0.13,0.09,-0.16,0.23,-0.41,0.49,
0.222,-0.13,0.09,-0.16,0.24,-0.39,0.49,
0.225,-0.13,0.09,-0.16,0.24,-0.38,0.50,
0.228,-0.10,0.06,-0.09,0.24,-0.38,0.50,
0.228,-0.10,0.06,-0.09,0.25,-0.35,0.51,
0.229,-0.10,0.06,-0.09,0.26,-0.33,0.51,
0.232,-0.05,0.04,-0.11,0.26,-0.33,0.51,
0.232,-0.05,0.04,-0.11,0.26,-0.30,0.51,
0.234,-0.05,0.04,-0.11,0.27,-0.26,0.51,
0.236,0.04,-0.01,-0.21,0.27,-0.26,0.51,
0.237,0.04,-0.01,-0.21,0.27,-0.23,0.51,
0.239,0.04,-0.01,-0.21,0.28,-0.19,0.51,
0.241,0.19,-0.14,-0.27,0.28,-0.19,0.51,
0.241,0.19,-0.14,-0.27,0.29,-0.15,0.51,
0.243,0.19,-0.14,-0.27,0.30,-0.12,0.51,
0.246,0.26,-0.32,-0.16,0.30,-0.12,0.51,
0.246,0.26,-0.32,-0.16,0.32,-0.09,0.51,
0.248,0.26,-0.32,-0.16,0.34,-0.06,0.50,
0.251,0.46,-0.34,-0.05,0.34,-0.06,0.50,
0.251,0.46,-0.34,-0.05,0.35,-0.02,0.50,
0.253,0.46,-0.34,-0.05,0.37,0.02,0.49,
0.256,0.58,-0.24,-0.09,0.37,0.02,0.49,
0.256,0.58,-0.24,-0.09,0.38,0.06,0.48,
0.264,0.58,-0.24,-0.09,0.39,0.10,0.46,
0.264,0.58,-0.24,-0.09,0.41,0.15,0.45,
0.264,0.64,-0.20,-0.18,0.41,0.15,0.45,
0.265,0.64,-0.20,-0.18,0.42,0.20,0.42,
0.266,0.64,-0.20,-0.18,0.43,0.24,0.39,
0.266,0.56,-0.28,-0.25,0.43,0.24,0.39,
0.268,0.56,-0.28,-0.25,0.44,0.27,0.37,
0.27,0.40,-0.49,-0.24,0.44,0.27,0.37,
0.27,0.40,-0.49,-0.24,0.45,0.30,0.35,
0.273,0.40,-0.49,-0.24,0.45,0.30,0.34,
0.276,0.40,-0.49,-0.24,0.46,0.29,0.34,
0.276,0.26,-0.53,-0.06,0.46,0.29,0.34,
0.278,0.26,-0.53,-0.06,0.47,0.28,0.35,
0.28,0.26,-0.53,-0.06,0.47,0.27,0.36,
0.28,0.26,-0.39,0.04,0.47,0.27,0.36,
0.283,0.26,-0.39,0.04,0.47,0.27,0.37,
0.285,0.26,-0.39,0.04,0.48,0.29,0.37,
0.285,0.40,-0.20,-0.21,0.48,0.29,0.37,
0.287,0.40,-0.20,-0.21,0.48,0.30,0.37,
0.29,0.40,-0.20,-0.21,0.50,0.27,0.35,
0.29,0.54,-0.11,-0.53,0.50,0.27,0.35,
0.292,0.54,-0.11,-0.53,0.53,0.23,0.32,
0.294,0.47,-0.37,0.12,0.53,0.23,0.32,
0.295,0.47,-0.37,0.12,0.56,0.21,0.30,
0.297,0.47,-0.37,0.12,0.58,0.18,0.27,
0.3,0.26,-0.62,0.37,0.58,0.18,0.27,
0.303,0.26,-0.62,0.37,0.61,0.16,0.25,
0.303,0.26,-0.62,0.37,0.64,0.12,0.23,
0.305,0.05,-0.77,0.60,0.64,0.12,0.23,
0.305,0.05,-0.77,0.60,0.67,0.09,0.22,
0.308,0.05,-0.77,0.60,0.69,0.06,0.21,
0.309,-0.16,-0.70,0.89,0.69,0.06,0.21,
0.31,-0.16,-0.70,0.89,0.72,0.04,0.20,
0.312,-0.16,-0.70,0.89,0.75,0.01,0.18,
0.314,-0.16,-0.70,0.89,0.78,-0.01,0.17,
0.314,-0.15,-0.60,1.06,0.78,-0.01,0.17,
0.316,-0.15,-0.60,1.06,0.80,-0.02,0.16,
0.319,0.04,-0.53,1.07,0.80,-0.02,0.16,
0.319,0.04,-0.53,1.07,0.83,-0.03,0.14,
0.321,0.04,-0.53,1.07,0.86,-0.02,0.12,
0.324,0.22,-0.52,0.91,0.86,-0.02,0.12,
0.324,0.22,-0.52,0.91,0.89,-0.01,0.10,
0.326,0.22,-0.52,0.91,0.91,0.00,0.08,
0.328,0.38,-0.60,0.61,0.91,0.00,0.08,
0.329,0.38,-0.60,0.61,0.93,0.03,0.06,
0.331,0.38,-0.60,0.61,0.95,0.05,0.04,
0.334,0.48,-0.64,0.35,0.95,0.05,0.04,
0.334,0.48,-0.64,0.35,0.97,0.08,0.03,
0.336,0.48,-0.64,0.35,0.98,0.11,0.01,
0.338,0.51,-0.70,0.22,0.98,0.11,0.01,
0.339,0.51,-0.70,0.22,1.00,0.14,-0.01,
0.341,0.51,-0.70,0.22,1.01,0.17,-0.02,
0.343,0.51,-0.70,0.22,1.01,0.20,-0.04,
0.343,0.56,-0.77,0.15,1.01,0.20,-0.04,
0.345,0.56,-0.77,0.15,1.02,0.23,-0.06,
0.348,0.56,-0.77,0.15,1.02,0.26,-0.08,
0.348,0.64,-0.79,0.12,1.02,0.26,-0.08,
0.35,0.64,-0.79,0.12,1.02,0.28,-0.09,
0.353,0.64,-0.79,0.12,1.01,0.30,-0.11,
0.353,0.73,-0.80,0.12,1.01,0.30,-0.11,
0.355,0.73,-0.80,0.12,1.01,0.32,-0.13,
0.364,0.73,-0.80,0.12,1.01,0.35,-0.16,
0.365,0.77,-0.90,0.10,1.01,0.35,-0.16,
0.365,0.77,-0.90,0.10,1.00,0.37,-0.18,
0.365,0.84,-1.06,0.01,1.00,0.37,-0.18,
0.365,0.84,-1.06,0.01,0.99,0.40,-0.21,
0.366,0.84,-1.06,0.01,0.98,0.43,-0.24,
0.367,0.84,-1.06,0.01,0.97,0.45,-0.28,
0.367,0.97,-1.27,-0.18,0.97,0.45,-0.28,
0.371,0.97,-1.27,-0.18,0.96,0.47,-0.32,
0.372,1.21,-1.56,-0.31,0.96,0.47,-0.32,
0.373,1.21,-1.56,-0.31,0.94,0.49,-0.36,
0.375,1.21,-1.56,-0.31,0.92,0.51,-0.40,
0.376,1.33,-1.66,-0.44,0.92,0.51,-0.40,
0.377,1.33,-1.66,-0.44,0.90,0.53,-0.45,
0.379,1.33,-1.66,-0.44,0.88,0.55,-0.49,
0.381,1.29,-1.70,-0.48,0.88,0.55,-0.49,
0.381,1.29,-1.70,-0.48,0.86,0.58,-0.54,
0.384,1.29,-1.70,-0.48,0.84,0.60,-0.58,
0.386,1.29,-1.70,-0.48,0.82,0.63,-0.63,
0.386,1.19,-1.68,-0.51,0.82,0.63,-0.63,
0.389,1.19,-1.68,-0.51,0.80,0.66,-0.68,
0.391,1.12,-1.70,-0.67,0.80,0.66,-0.68,
0.391,1.12,-1.70,-0.67,0.78,0.69,-0.72,
0.393,1.12,-1.70,-0.67,0.76,0.72,-0.77,
0.396,1.12,-1.70,-0.67,0.74,0.75,-0.82,
0.397,1.05,-1.75,-0.86,0.74,0.75,-0.82,
0.399,1.05,-1.75,-0.86,0.72,0.78,-0.86,
0.401,1.04,-1.75,-1.13,0.72,0.78,-0.86,
0.401,1.04,-1.75,-1.13,0.70,0.81,-0.91,
0.403,1.04,-1.75,-1.13,0.68,0.83,-0.95,
0.406,1.04,-1.75,-1.13,0.67,0.82,-0.98,
0.406,0.91,-1.76,-1.32,0.67,0.82,-0.98,
0.408,0.91,-1.76,-1.32,0.66,0.77,-1.00,
0.411,0.91,-1.76,-1.32,0.66,0.71,-1.02,
0.411,0.71,-1.84,-1.10,0.66,0.71,-1.02,
0.413,0.71,-1.84,-1.10,0.67,0.64,-1.03,
0.415,0.64,-2.10,-0.82,0.67,0.64,-1.03,
0.416,0.64,-2.10,-0.82,0.67,0.57,-1.05,
0.418,0.64,-2.10,-0.82,0.68,0.50,-1.07,
0.42,0.64,-2.10,-0.82,0.68,0.44,-1.10,
0.42,0.84,-2.16,-0.96,0.68,0.44,-1.10,
0.422,0.84,-2.16,-0.96,0.69,0.37,-1.13,
0.425,0.84,-2.16,-0.96,0.70,0.31,-1.16,
0.425,0.86,-1.93,-0.92,0.70,0.31,-1.16,
0.427,0.86,-1.93,-0.92,0.72,0.25,-1.19,
0.43,0.80,-1.67,-0.72,0.72,0.25,-1.19,
0.43,0.80,-1.67,-0.72,0.74,0.20,-1.22,
0.432,0.80,-1.67,-0.72,0.76,0.14,-1.25,
0.435,0.80,-1.67,-0.72,0.79,0.09,-1.27,
0.435,0.65,-1.43,-0.47,0.79,0.09,-1.27,
0.438,0.65,-1.43,-0.47,0.83,0.03,-1.30,
0.441,0.65,-1.43,-0.47,0.86,-0.03,-1.31,
0.441,0.41,-1.10,-0.22,0.86,-0.03,-1.31,
0.442,0.41,-1.10,-0.22,0.91,-0.09,-1.33,
0.444,0.41,-1.10,-0.22,0.95,-0.15,-1.34,
0.445,0.05,-0.81,0.02,0.95,-0.15,-1.34,
0.447,0.05,-0.81,0.02,1.00,-0.20,-1.35,
0.449,0.05,-0.81,0.02,1.05,-0.26,-1.36,
0.449,-0.30,-0.47,0.25,1.05,-0.26,-1.36,
0.452,-0.30,-0.47,0.25,1.11,-0.31,-1.36,
0.454,-0.54,-0.24,0.47,1.11,-0.31,-1.36,
0.454,-0.54,-0.24,0.47,1.17,-0.37,-1.37,
0.459,-0.54,-0.24,0.47,1.23,-0.42,-1.37,
0.459,-0.54,-0.24,0.47,1.28,-0.47,-1.38,
0.459,-0.72,-0.02,0.62,1.28,-0.47,-1.38,
0.462,-0.72,-0.02,0.62,1.34,-0.50,-1.39,
0.464,-0.72,-0.02,0.62,1.40,-0.53,-1.40,
0.464,-0.79,0.17,0.53,1.40,-0.53,-1.40,
0.467,-0.79,0.17,0.53,1.46,-0.55,-1.41,
0.469,-0.68,0.02,0.22,1.46,-0.55,-1.41,
0.469,-0.68,0.02,0.22,1.51,-0.57,-1.43,
0.471,-0.68,0.02,0.22,1.55,-0.58,-1.45,
0.474,-0.68,0.02,0.22,1.60,-0.59,-1.47,
0.474,-0.50,-0.13,-0.26,1.60,-0.59,-1.47,
0.476,-0.50,-0.13,-0.26,1.64,-0.60,-1.49,
0.478,-0.41,-0.23,-0.72,1.64,-0.60,-1.49,
0.478,-0.41,-0.23,-0.72,1.67,-0.61,-1.51,
0.481,-0.41,-0.23,-0.72,1.71,-0.63,-1.53,
0.483,-0.41,-0.23,-0.72,1.74,-0.65,-1.56,
0.484,-0.35,-0.24,-1.21,1.74,-0.65,-1.56,
0.486,-0.35,-0.24,-1.21,1.76,-0.67,-1.58,
0.488,-0.35,-0.24,-1.21,1.77,-0.71,-1.61,
0.488,-0.20,-0.26,-1.74,1.77,-0.71,-1.61,
0.491,-0.20,-0.26,-1.74,1.78,-0.75,-1.63,
0.493,-0.04,-0.23,-2.44,1.78,-0.75,-1.63,
0.493,-0.04,-0.23,-2.44,1.77,-0.80,-1.65,
0.495,-0.04,-0.23,-2.44,1.78,-0.82,-1.64,
0.498,-0.04,-0.23,-2.44,1.79,-0.82,-1.61,
0.498,-0.41,-0.26,-3.07,1.79,-0.82,-1.61,
0.5,-0.41,-0.26,-3.07,1.80,-0.78,-1.57,
0.503,-1.85,-0.14,-3.27,1.80,-0.78,-1.57,
0.503,-1.85,-0.14,-3.27,1.82,-0.73,-1.51,
0.507,-1.85,-0.14,-3.27,1.83,-0.72,-1.46,
0.508,-1.85,-0.14,-3.27,1.83,-0.75,-1.41,
0.508,-2.95,0.13,-3.06,1.83,-0.75,-1.41,
0.511,-2.95,0.13,-3.06,1.81,-0.79,-1.36,
0.512,-2.95,0.13,-3.06,1.78,-0.83,-1.32,
0.513,-2.98,0.44,-3.10,1.78,-0.83,-1.32,
0.515,-2.98,0.44,-3.10,1.75,-0.82,-1.29,
0.517,-2.98,0.44,-3.10,1.70,-0.75,-1.25,
0.518,-2.67,0.56,-3.40,1.70,-0.75,-1.25,
0.519,-2.67,0.56,-3.40,1.64,-0.63,-1.20,
0.522,-2.70,0.72,-4.55,1.64,-0.63,-1.20,
0.522,-2.70,0.72,-4.55,1.55,-0.49,-1.16,
0.524,-2.70,0.72,-4.55,1.44,-0.41,-1.10,
0.527,-2.70,0.72,-4.55,1.32,-0.37,-1.03,
0.527,-2.84,1.14,-5.15,1.32,-0.37,-1.03,
0.53,-2.84,1.14,-5.15,1.20,-0.39,-0.95,
0.532,-3.07,1.68,-4.27,1.20,-0.39,-0.95,
0.533,-3.07,1.68,-4.27,1.06,-0.45,-0.86,
0.534,-3.07,1.68,-4.27,0.92,-0.53,-0.76,
0.536,-3.26,2.01,-3.33,0.92,-0.53,-0.76,
0.537,-3.26,2.01,-3.33,0.76,-0.58,-0.64,
0.539,-3.26,2.01,-3.33,0.55,-0.57,-0.50,
0.542,-3.26,2.01,-3.33,0.33,-0.52,-0.38,
0.542,-3.30,2.27,-3.72,0.33,-0.52,-0.38,
0.544,-3.30,2.27,-3.72,0.11,-0.48,-0.28,
0.547,-3.04,2.02,-5.32,0.11,-0.48,-0.28,
0.547,-3.04,2.02,-5.32,-0.07,-0.45,-0.18,
0.549,-3.04,2.02,-5.32,-0.23,-0.41,-0.08,
0.551,-2.81,1.35,-5.32,-0.23,-0.41,-0.08,
0.551,-2.81,1.35,-5.32,-0.38,-0.34,0.02,
0.554,-2.81,1.35,-5.32,-0.51,-0.24,0.12,
0.557,-2.81,1.35,-5.32,-0.66,-0.14,0.21,
0.557,-2.52,0.85,-5.72,-0.66,-0.14,0.21,
0.558,-2.52,0.85,-5.72,-0.80,-0.02,0.28,
0.561,-2.03,0.54,-6.19,-0.80,-0.02,0.28,
0.561,-2.03,0.54,-6.19,-0.93,0.09,0.35,
0.563,-2.03,0.54,-6.19,-1.06,0.19,0.42,
0.573,-2.03,0.54,-6.19,-1.18,0.28,0.49,
0.574,-1.59,0.35,-5.92,-1.18,0.28,0.49,
0.574,-1.59,0.35,-5.92,-1.29,0.36,0.56,
0.575,-1.36,0.21,-5.07,-1.29,0.36,0.56,
0.575,-1.36,0.21,-5.07,-1.39,0.42,0.63,
0.575,-1.36,0.21,-5.07,-1.48,0.47,0.70,
0.575,-1.20,0.07,-4.01,-1.48,0.47,0.70,
0.576,-1.20,0.07,-4.01,-1.56,0.49,0.78,
0.578,-1.20,0.07,-4.01,-1.64,0.50,0.85,
0.581,-1.20,0.07,-4.01,-1.70,0.49,0.93,
0.581,-1.09,-0.06,-2.91,-1.70,0.49,0.93,
0.583,-1.09,-0.06,-2.91,-1.76,0.46,1.02,
0.586,-1.09,-0.06,-2.91,-1.81,0.43,1.11,
0.586,-1.06,-0.01,-1.94,-1.81,0.43,1.11,
0.589,-1.06,-0.01,-1.94,-1.85,0.42,1.20,
0.59,-1.06,-0.01,-1.94,-1.88,0.42,1.29,
0.59,-1.19,0.22,-1.55,-1.88,0.42,1.29,
0.594,-1.19,0.22,-1.55,-1.91,0.44,1.37,
0.595,-1.32,0.26,-1.81,-1.91,0.44,1.37,
0.595,-1.32,0.26,-1.81,-1.93,0.47,1.44,
0.597,-1.32,0.26,-1.81,-1.95,0.51,1.51,
0.599,-1.32,0.22,-2.25,-1.95,0.51,1.51,
0.6,-1.32,0.22,-2.25,-1.96,0.56,1.57,
0.602,-1.32,0.22,-2.25,-1.97,0.61,1.62,
0.605,-1.32,0.22,-2.25,-1.97,0.66,1.66,
0.605,-1.15,0.10,-2.54,-1.97,0.66,1.66,
0.607,-1.15,0.10,-2.54,-1.97,0.70,1.69,
0.609,-0.82,-0.09,-2.56,-1.97,0.70,1.69,
0.61,-0.82,-0.09,-2.56,-1.96,0.73,1.71,
0.612,-0.82,-0.09,-2.56,-1.94,0.75,1.71,
0.614,-0.47,-0.32,-2.26,-1.94,0.75,1.71,
0.615,-0.47,-0.32,-2.26,-1.91,0.76,1.71,
0.617,-0.47,-0.32,-2.26,-1.89,0.75,1.71,
0.62,-0.18,-0.69,-1.71,-1.89,0.75,1.71,
0.62,-0.18,-0.69,-1.71,-1.86,0.73,1.70,
0.622,-0.18,-0.69,-1.71,-1.83,0.70,1.68,
0.625,0.06,-1.08,-1.10,-1.83,0.70,1.68,
0.626,0.06,-1.08,-1.10,-1.79,0.66,1.67,
0.627,0.06,-1.08,-1.10,-1.75,0.61,1.64,
0.629,0.06,-1.08,-1.10,-1.71,0.55,1.62,
0.629,0.29,-1.41,-0.64,-1.71,0.55,1.62,
0.632,0.29,-1.41,-0.64,-1.67,0.48,1.59,
0.634,0.45,-1.72,-0.36,-1.67,0.48,1.59,
0.634,0.45,-1.72,-0.36,-1.63,0.41,1.56,
0.636,0.45,-1.72,-0.36,-1.58,0.34,1.53,
0.638,0.53,-1.97,-0.25,-1.58,0.34,1.53,
0.639,0.53,-1.97,-0.25,-1.54,0.26,1.49,
0.641,0.53,-1.97,-0.25,-1.49,0.18,1.45,
0.643,0.53,-1.97,-0.25,-1.44,0.11,1.41,
0.644,0.57,-2.16,-0.25,-1.44,0.11,1.41,
0.646,0.57,-2.16,-0.25,-1.38,0.03,1.37,
0.649,0.57,-2.16,-0.25,-1.32,-0.05,1.33,
0.65,0.57,-2.17,-0.31,-1.32,-0.05,1.33,
0.651,0.57,-2.17,-0.31,-1.26,-0.13,1.29,
0.653,0.57,-2.17,-0.31,-1.20,-0.22,1.25,
0.654,0.54,-2.05,-0.28,-1.20,-0.22,1.25,
0.655,0.54,-2.05,-0.28,-1.13,-0.31,1.21,
0.658,0.47,-1.86,-0.16,-1.13,-0.31,1.21,
0.658,0.47,-1.86,-0.16,-1.07,-0.40,1.18,
0.66,0.47,-1.86,-0.16,-1.00,-0.50,1.14,
0.663,0.47,-1.86,-0.16,-0.93,-0.60,1.11,
0.663,0.33,-1.58,-0.05,-0.93,-0.60,1.11,
0.672,0.33,-1.58,-0.05,-0.86,-0.71,1.09,
0.673,0.33,-1.58,-0.05,-0.79,-0.81,1.07,
0.673,0.20,-1.30,0.01,-0.79,-0.81,1.07,
0.674,0.20,-1.30,0.01,-0.72,-0.91,1.05,
0.674,0.06,-1.09,-0.04,-0.72,-0.91,1.05,
0.674,0.06,-1.09,-0.04,-0.65,-1.01,1.04,
0.675,0.06,-1.09,-0.04,-0.59,-1.11,1.03,
0.678,-0.07,-0.86,-0.12,-0.59,-1.11,1.03,
0.678,-0.07,-0.86,-0.12,-0.52,-1.20,1.02,
0.68,-0.07,-0.86,-0.12,-0.46,-1.29,1.01,
0.687,-0.07,-0.86,-0.12,-0.41,-1.37,1.01,
0.687,-0.16,-0.66,-0.24,-0.41,-1.37,1.01,
0.688,-0.16,-0.66,-0.24,-0.36,-1.44,1.01,
0.688,-0.16,-0.66,-0.24,-0.31,-1.50,1.00,
0.688,-0.21,-0.54,-0.41,-0.31,-1.50,1.00,
0.691,-0.21,-0.54,-0.41,-0.27,-1.55,1.00,
0.692,-0.21,-0.54,-0.41,-0.24,-1.60,0.99,
0.692,-0.25,-0.47,-0.55,-0.24,-1.60,0.99,
0.694,-0.25,-0.47,-0.55,-0.21,-1.65,0.98,
0.696,-0.23,-0.49,-0.62,-0.21,-1.65,0.98,
0.696,-0.23,-0.49,-0.62,-0.18,-1.68,0.98,
